km,ano,qtd_revisoes,qtd_donos,estado_carro,marca,preco_real
19623,2023,1,2,3,Hyundai,67390
27377,2022,1,1,3,Fiat,41180
130347,2012,10,3,4,Hyundai,10000
86658,2019,5,2,4,Nissan,17582
103403,2017,1,3,2,Nissan,10000
107333,2016,6,4,3,Ford,10000
13120,2025,1,1,4,Ford,104611
60973,2019,5,2,2,Fiat,16210
21783,2025,0,1,4,Honda,129038
36895,2022,2,1,3,Renault,49162
12438,2024,0,1,3,Volkswagen,104297
53806,2021,2,3,3,Ford,40390
39333,2022,1,1,4,Renault,44882
49791,2021,3,3,4,Nissan,37830
110001,2015,8,3,2,Volkswagen,10000
26667,2023,1,1,5,Toyota,76445
117293,2017,4,3,1,Volkswagen,10000
213527,2009,10,4,2,Fiat,10000
47038,2022,2,1,2,Nissan,49523
113534,2015,8,4,3,Renault,10000
8042,2025,1,1,3,Renault,90935
11497,2025,0,1,4,Fiat,90419
12223,2025,0,1,3,Renault,98407
82721,2019,7,4,2,Ford,16355
176087,2008,12,4,1,Chevrolet,10000
18118,2025,1,1,5,Toyota,144120
58587,2020,3,2,3,Fiat,16329
10292,2025,0,1,2,Renault,95355
7952,2025,0,1,4,Hyundai,115881
5381,2024,0,1,3,Volkswagen,85207
105313,2017,4,4,3,Volkswagen,10000
72718,2019,4,3,3,Volkswagen,21410
6840,2024,1,1,4,Fiat,75831
70294,2018,1,2,2,Hyundai,14984
115753,2015,6,2,2,Renault,10000
61352,2021,0,1,3,Fiat,29871
10962,2025,1,1,4,Fiat,88662
15497,2023,0,1,3,Hyundai,74516
34297,2022,0,1,3,Renault,42271
152067,2012,15,3,2,Chevrolet,10000
17315,2022,2,2,3,Chevrolet,50128
11783,2025,0,1,5,Hyundai,117136
128936,2014,8,3,4,Chevrolet,10000
53570,2021,2,4,3,Fiat,20344
19396,2024,0,2,3,Honda,108107
30373,2023,0,2,2,Hyundai,66014
22479,2023,0,1,3,Hyundai,70186
17741,2023,2,1,3,Honda,81573
97214,2019,3,2,2,Honda,18773
96670,2017,1,2,2,Volkswagen,10000
12056,2024,0,1,4,Chevrolet,84755
11903,2024,0,2,3,Volkswagen,85580
12792,2024,0,2,3,Volkswagen,82658
11423,2025,0,1,3,Honda,131456
43411,2021,3,3,4,Nissan,37679
43625,2021,3,2,3,Jeep,52233
11869,2024,1,2,3,Hyundai,86619
32235,2022,2,2,2,Volkswagen,52991
19968,2023,3,2,3,Fiat,61611
12426,2024,0,1,3,Renault,66124
10980,2025,0,1,5,Hyundai,123851
99917,2018,8,1,4,Hyundai,14133
46026,2019,0,4,2,Renault,18567
171742,2012,4,4,1,Honda,10000
44633,2022,1,1,3,Renault,45561
147879,2010,7,4,1,Fiat,10000
56935,2020,5,2,3,Honda,37125
45028,2021,0,3,3,Nissan,39450
80076,2017,7,2,3,Chevrolet,10000
30611,2022,1,2,4,Hyundai,54491
174231,2009,5,4,1,Chevrolet,10000
207146,2010,12,4,3,Jeep,10000
15743,2024,3,2,3,Fiat,65851
84459,2019,4,3,4,Hyundai,22068
154000,2013,7,4,3,Volkswagen,10000
38968,2021,1,2,3,Honda,50484
9902,2024,1,1,3,Volkswagen,88107
113872,2016,3,4,2,Volkswagen,10000
27533,2022,2,2,4,Toyota,64244
166283,2012,6,4,2,Nissan,10000
164403,2011,5,4,3,Volkswagen,10000
45001,2021,1,2,5,Volkswagen,42513
53688,2021,3,2,3,Renault,38240
39078,2022,0,1,2,Toyota,65038
21958,2023,1,3,3,Nissan,70382
16637,2025,1,1,4,Volkswagen,117249
39351,2021,4,1,2,Hyundai,40833
90518,2018,3,2,3,Volkswagen,12424
14372,2024,1,2,4,Volkswagen,89508
92498,2017,5,2,2,Honda,10000
62917,2020,1,3,3,Hyundai,31728
137956,2012,9,3,2,Renault,10000
206784,2009,10,3,2,Chevrolet,10000
11260,2025,2,1,4,Ford,104370
9909,2024,0,1,4,Ford,78529
29934,2023,1,2,3,Jeep,95688
53700,2020,3,4,3,Chevrolet,31145
102184,2015,9,3,3,Chevrolet,10000
111349,2014,11,3,3,Chevrolet,10000
102856,2017,4,4,3,Toyota,10449
37757,2021,2,1,3,Volkswagen,44395
33927,2023,2,1,4,Nissan,83994
12223,2023,2,1,3,Chevrolet,65997
115193,2017,5,3,2,Nissan,10000
12844,2025,0,1,4,Fiat,102908
23453,2023,1,1,4,Hyundai,76370
43641,2021,2,1,2,Nissan,34944
38765,2022,3,1,3,Volkswagen,55270
59663,2020,0,2,3,Jeep,42571
121240,2016,10,4,4,Ford,10000
73119,2019,2,4,3,Jeep,29622
24850,2023,1,1,2,Honda,75846
198003,2008,9,4,2,Chevrolet,10000
143211,2013,6,3,2,Volkswagen,10000
184768,2010,6,4,1,Chevrolet,10000
153506,2010,12,3,2,Fiat,10000
6607,2024,1,1,3,Volkswagen,93954
28205,2023,2,1,3,Fiat,53847
61528,2020,2,3,3,Ford,27078
153347,2012,10,4,3,Renault,10000
48147,2021,1,2,3,Volkswagen,40803
63109,2020,1,2,3,Volkswagen,28351
113173,2015,2,3,2,Hyundai,10000
53039,2020,1,1,3,Volkswagen,28935
73919,2019,2,4,3,Fiat,14421
29222,2022,1,1,3,Volkswagen,43256
38828,2022,2,1,3,Nissan,48230
153624,2010,11,4,1,Renault,10000
82084,2019,5,2,3,Chevrolet,14439
39274,2022,1,3,4,Hyundai,53306
50048,2021,6,2,3,Toyota,49792
15931,2024,1,1,4,Honda,86889
33421,2023,0,2,3,Honda,74816
145457,2014,7,4,3,Hyundai,10000
129451,2012,9,3,3,Chevrolet,10000
27135,2022,2,2,3,Fiat,44634
182003,2009,11,4,1,Ford,10000
36181,2022,0,2,2,Nissan,45595
14071,2025,0,1,4,Toyota,136179
30972,2022,2,1,4,Renault,48287
73830,2019,2,4,3,Jeep,32291
30767,2022,0,1,4,Volkswagen,59212
54530,2020,3,1,3,Honda,35443
36747,2021,1,1,3,Honda,32685
8307,2025,0,1,3,Jeep,171728
58756,2019,8,3,2,Jeep,30567
8097,2025,0,1,4,Honda,124180
16215,2025,1,1,3,Volkswagen,108521
107991,2015,2,4,3,Renault,10000
193965,2012,5,3,2,Fiat,10000
150836,2013,9,3,2,Renault,10000
194957,2009,7,4,1,Nissan,10000
143621,2012,10,3,2,Chevrolet,10000
27962,2023,2,1,4,Hyundai,74211
147698,2012,9,3,1,Ford,10000
85291,2018,3,3,4,Ford,13357
22240,2024,0,1,3,Chevrolet,77979
190463,2009,9,3,2,Renault,10000
16597,2024,1,1,3,Jeep,104539
88044,2017,3,3,2,Jeep,11951
143515,2013,7,3,1,Volkswagen,10000
34017,2023,1,1,3,Nissan,70298
31656,2022,5,2,2,Honda,58263
19250,2024,0,1,2,Volkswagen,92099
28004,2023,1,2,3,Fiat,54720
9750,2024,2,1,3,Chevrolet,78591
103155,2017,10,2,4,Nissan,10000
132302,2015,6,4,3,Hyundai,10000
27517,2023,0,2,4,Honda,77560
5719,2024,0,1,3,Volkswagen,89210
9091,2025,1,1,4,Honda,137332
57786,2020,2,2,1,Fiat,21571
71271,2019,3,2,3,Chevrolet,18241
14483,2024,0,1,3,Hyundai,95288
85881,2018,3,3,3,Volkswagen,13841
6659,2025,0,1,3,Renault,95680
13521,2024,2,1,3,Volkswagen,85212
65461,2020,6,1,1,Hyundai,28696
27167,2023,1,2,3,Ford,58000
30114,2023,0,2,4,Hyundai,72582
155555,2013,6,4,3,Fiat,10000
13837,2025,0,1,4,Fiat,81949
47439,2021,1,2,3,Nissan,33295
5356,2024,0,1,4,Chevrolet,89469
88547,2018,5,3,1,Renault,10000
12831,2025,0,1,3,Jeep,128781
74661,2019,7,3,2,Volkswagen,26340
182943,2008,13,4,2,Chevrolet,10000
7676,2025,0,1,2,Hyundai,116948
171189,2012,6,3,3,Jeep,10000
83581,2018,3,2,3,Nissan,12633
14726,2025,1,1,4,Toyota,100265
12113,2025,0,1,4,Renault,95068
36206,2022,3,1,4,Volkswagen,54906
42501,2022,2,2,2,Jeep,64677
55384,2020,1,2,3,Jeep,35613
97087,2017,2,3,3,Volkswagen,10000
79108,2018,2,2,3,Chevrolet,13611
21542,2023,1,1,3,Fiat,52731
22251,2023,1,1,3,Chevrolet,66829
12889,2024,0,1,3,Renault,71495
10085,2024,0,2,3,Chevrolet,81137
174111,2012,11,3,2,Fiat,10000
40843,2021,5,3,4,Chevrolet,36719
165203,2011,9,3,2,Jeep,10000
44482,2021,2,1,3,Hyundai,37323
72942,2020,3,3,3,Ford,25117
12786,2025,0,1,3,Volkswagen,95899
82110,2019,9,2,2,Jeep,27275
123415,2013,11,4,2,Renault,10000
135543,2014,5,2,2,Chevrolet,10000
29033,2023,1,1,4,Fiat,58137
36570,2022,3,1,3,Fiat,41642
158764,2013,9,4,3,Volkswagen,10000
148540,2012,6,4,2,Hyundai,10000
31972,2023,3,1,3,Nissan,55713
189155,2012,6,4,1,Toyota,10000
10549,2024,1,1,5,Renault,78610
21480,2023,1,1,3,Ford,60100
176961,2012,7,4,3,Honda,10000
178781,2012,8,4,1,Honda,10000
9909,2025,0,1,5,Volkswagen,107321
67883,2019,2,2,4,Chevrolet,19573
69239,2019,3,1,3,Hyundai,22797
6622,2024,0,1,3,Fiat,74204
8325,2025,0,1,4,Chevrolet,104024
7983,2025,1,1,4,Toyota,128968
19657,2023,1,1,3,Jeep,88694
71660,2019,4,3,3,Toyota,25360
159378,2012,7,4,3,Renault,10000
18202,2024,0,1,2,Ford,76597
40013,2021,2,2,3,Renault,37061
68804,2020,4,2,2,Hyundai,22596
11144,2025,1,1,4,Nissan,113878
143315,2013,9,4,2,Ford,10000
53399,2021,4,3,2,Hyundai,40466
185484,2008,12,4,1,Hyundai,10000
63420,2020,1,2,3,Ford,31437
170491,2011,10,4,2,Volkswagen,10000
150824,2013,8,3,1,Fiat,10000
148007,2013,6,4,1,Fiat,10000
53011,2022,2,3,3,Nissan,47035
20392,2023,0,2,3,Volkswagen,50225
32321,2022,1,3,3,Volkswagen,53722
9507,2025,0,1,3,Honda,119854
66557,2019,2,3,3,Chevrolet,18717
88789,2017,9,3,3,Toyota,12569
16756,2024,1,1,3,Volkswagen,88871
125046,2016,6,3,2,Jeep,10000
9717,2025,0,1,3,Nissan,103880
190272,2008,9,3,2,Nissan,10000
13886,2025,0,1,2,Ford,93626
171445,2010,11,3,3,Renault,10000
14532,2025,0,1,4,Volkswagen,112939
49623,2021,0,2,4,Fiat,29826
5937,2025,0,1,5,Fiat,90880
178318,2012,7,4,1,Hyundai,10000
62367,2021,1,2,3,Ford,36715
9549,2025,0,1,5,Toyota,147114
44898,2021,0,2,3,Fiat,30859
37981,2022,1,2,3,Ford,50480
25892,2023,3,2,2,Honda,72514
65890,2020,2,4,3,Ford,28532
49927,2022,2,3,5,Honda,68391
34774,2022,3,2,4,Volkswagen,56823
8807,2025,2,1,3,Renault,102963
158632,2010,13,3,2,Hyundai,10000
87730,2017,4,3,2,Volkswagen,10000
11867,2025,0,1,3,Volkswagen,77953
19178,2025,0,1,2,Hyundai,103546
55370,2020,1,1,3,Renault,25541
37550,2022,0,1,4,Ford,48323
95814,2017,4,3,3,Volkswagen,10000
135032,2015,3,3,3,Nissan,10000
82602,2020,1,2,4,Hyundai,30994
66799,2019,3,2,3,Ford,20042
32609,2022,0,2,3,Toyota,58453
171059,2012,10,4,2,Volkswagen,10000
14728,2025,0,1,2,Hyundai,82571
19387,2025,0,1,3,Chevrolet,110484
