renda_mensal,score_bureau,idade,tempo_emprego_meses,valor_solicitado,possui_garantia,atraso_30d_12m,historico_fraude,target_default
2507.98,434,53,221,21850.07,0,1,0,1
2387.7,715,47,191,12363.85,1,0,0,0
7143.29,741,36,105,28812.18,0,0,0,0
8207.64,581,38,157,11094.69,0,0,0,1
2485.11,339,28,64,1294.96,1,0,0,0
2124.1,584,38,123,28877.61,1,2,0,0
4644.17,697,35,117,25612.45,0,1,0,0
2512.88,473,41,115,29160.01,1,0,0,0
5116.76,672,30,65,2392.68,0,0,0,0
3953.17,648,43,136,33399.79,1,0,0,0
1409.61,720,53,176,23010.57,0,0,0,0
8857.51,664,37,98,26105.61,0,0,0,1
10280.92,533,42,154,29922.81,0,0,0,0
2423.2,794,45,236,32871.58,0,0,0,0
2773.59,631,34,118,22812.92,0,0,0,0
4154.87,647,40,156,23564.91,1,0,0,0
4277.79,538,38,124,39766.75,0,0,0,1
5196.0,597,39,188,31404.55,0,0,0,0
11691.78,544,30,74,22232.61,0,0,0,0
3147.46,629,38,108,27657.62,0,0,0,0
2167.96,855,43,187,15094.99,0,0,0,0
1529.85,485,53,191,8998.92,0,0,0,0
2257.38,456,48,196,22810.65,0,1,0,1
3431.12,827,60,294,36364.2,0,0,0,0
10272.78,625,30,104,44040.77,0,0,0,0
2565.61,570,47,215,13520.51,1,0,0,0
4002.97,775,40,174,21379.45,1,0,0,0
3465.68,577,60,399,8904.84,0,0,0,0
7140.62,869,30,68,43382.2,0,0,0,0
15941.45,731,30,78,50000.0,0,0,0,1
2545.28,591,32,92,24983.39,0,0,0,1
2609.35,909,18,0,30822.45,0,0,0,0
6548.65,577,33,110,30892.24,0,0,0,0
5269.3,739,30,120,24847.41,0,0,0,0
10599.29,686,40,187,3449.19,0,0,0,0
4968.51,806,41,178,19074.83,0,0,0,0
2821.27,837,57,240,26151.7,1,0,0,0
4988.6,654,48,258,28033.86,1,0,0,0
6807.23,560,32,135,16648.44,0,0,0,0
5726.2,705,29,99,39478.83,0,0,0,0
4745.17,569,43,129,7488.14,1,0,0,0
6637.72,892,25,59,21927.42,1,0,0,0
7059.26,666,56,183,30302.25,0,1,0,0
8020.96,606,50,199,31380.1,0,0,0,0
5165.43,672,33,70,27012.47,0,0,0,0
3166.07,488,21,21,11243.35,0,0,0,0
3822.07,533,52,277,6851.73,0,0,0,0
7218.65,794,37,114,28084.58,0,0,0,0
2143.85,571,50,231,22818.46,0,0,0,0
4366.52,524,22,32,7877.71,0,1,0,0
2764.22,714,32,91,27244.83,1,0,0,0
3560.89,792,38,111,18303.94,0,0,0,0
7537.07,736,38,142,29703.84,0,0,0,0
3925.22,770,33,124,33381.23,0,0,0,0
3598.89,559,44,144,7326.4,0,0,0,0
1547.82,479,27,48,1428.66,1,1,0,0
5476.77,830,37,127,32572.61,0,0,0,0
5155.45,611,39,200,25432.83,0,1,0,1
12816.27,620,43,203,35550.15,0,0,0,0
2909.83,809,45,223,32386.68,0,0,0,0
3991.84,717,27,55,32100.94,1,0,0,0
4064.92,705,23,35,38350.65,0,0,0,0
9018.11,910,51,153,24982.76,0,0,0,0
3305.49,573,41,183,19433.64,0,0,0,0
4137.85,761,31,124,16539.67,0,0,0,0
5040.48,657,54,281,7003.59,1,0,0,0
3914.66,682,39,199,23070.46,1,0,0,1
2677.55,833,50,265,11138.05,0,0,0,0
3932.27,711,39,117,36655.67,0,0,0,1
6665.48,715,59,368,25434.82,1,0,0,0
1890.52,779,56,192,22397.82,1,0,0,0
3790.68,606,36,137,14547.09,0,0,0,0
2299.5,549,48,170,2679.01,0,0,0,0
7169.18,525,44,124,2228.5,0,0,0,0
1403.33,414,52,232,15952.71,1,1,0,0
2502.8,897,28,53,3909.56,0,0,0,1
4388.95,518,45,190,24752.37,0,0,0,0
8953.79,623,49,240,40408.61,1,0,0,0
3364.61,617,20,13,34558.23,0,1,0,0
2508.4,687,26,46,25309.56,0,0,0,0
10820.66,748,18,0,10892.89,0,0,0,0
1468.08,753,35,110,31825.96,0,0,0,0
1200.0,580,45,220,32372.26,0,0,0,1
4557.49,630,53,282,8608.58,0,0,0,1
2589.67,684,39,189,28301.66,0,0,0,1
1896.53,620,54,295,11212.17,0,2,0,0
5353.64,843,24,38,33412.38,1,0,0,0
4051.32,709,21,11,39753.68,1,0,0,0
2495.07,738,37,123,1877.88,0,0,0,0
1623.49,730,42,148,33231.89,0,0,0,0
5907.59,791,38,167,26523.63,0,0,0,0
5170.06,672,18,4,40129.26,0,0,0,0
3297.81,494,37,162,18532.39,0,0,0,1
10598.85,698,25,68,40581.83,0,0,0,0
1841.74,572,45,244,3019.46,0,1,0,0
1401.37,587,42,225,12786.25,0,0,0,0
2310.86,720,29,67,3236.25,0,0,0,0
3405.57,799,33,102,38142.2,0,0,0,0
4050.2,653,27,70,32710.69,0,0,0,0
3028.36,687,37,123,33051.28,0,0,0,0
4323.2,854,48,231,37744.66,0,0,0,0
1651.76,679,28,71,3824.0,1,0,0,0
8322.99,962,43,205,17899.92,1,1,0,0
3331.67,718,33,93,3494.77,0,1,0,0
6842.41,439,30,59,9790.6,0,1,0,1
4299.07,740,37,121,9830.03,0,0,0,0
4603.49,696,28,62,19440.47,0,1,0,0
4926.47,805,32,123,11585.84,0,0,0,0
4578.58,731,26,61,4817.14,1,0,0,0
5146.91,633,58,218,7582.25,0,0,0,0
7769.88,503,38,88,7283.74,1,0,0,0
3938.01,625,31,96,38677.46,0,0,0,1
5355.72,548,40,180,31654.54,0,0,0,1
3316.54,580,37,121,37748.33,1,0,0,1
8304.8,721,36,89,20277.12,0,0,0,0
2332.47,850,44,177,11067.58,0,0,0,0
10312.2,697,46,179,38009.97,0,0,0,0
3416.68,506,33,127,13283.4,0,0,0,0
1483.34,703,32,117,11526.7,1,0,0,0
3779.63,794,35,109,9799.12,0,0,0,0
2325.96,577,18,0,5558.53,1,0,0,1
5795.89,634,23,45,11383.83,1,0,0,0
2365.97,652,52,239,13932.89,1,1,0,0
2677.95,556,54,286,26004.86,0,0,0,0
1200.0,728,36,93,2963.07,0,0,0,0
2668.13,635,44,187,8644.94,1,0,0,0
1200.0,700,41,113,29620.01,0,0,0,0
1353.13,544,69,369,6005.69,0,1,0,0
5523.5,598,49,288,14810.99,0,0,0,0
5608.27,737,37,125,36195.11,0,0,0,1
4517.86,605,28,44,6945.49,0,0,0,1
1959.28,857,22,25,3775.53,0,0,0,0
3401.23,602,40,153,19339.36,0,0,0,0
3492.44,677,30,56,12398.88,1,0,0,0
1746.73,762,24,24,21224.16,0,0,0,0
8626.18,480,32,109,36631.64,1,1,0,0
5925.0,439,27,59,6502.02,0,2,0,0
3065.42,467,55,228,22784.93,1,0,0,0
3556.92,802,47,256,20238.83,0,0,0,0
3966.14,584,38,102,6409.1,1,1,0,0
1200.0,957,53,323,23012.53,0,0,0,0
3017.58,582,39,134,11129.35,1,0,0,0
2324.66,672,29,100,18822.15,0,0,0,0
1918.97,835,53,265,3753.66,1,0,0,0
2956.79,891,43,220,18132.75,1,0,0,0
10292.08,897,28,92,15167.98,0,0,0,0
5141.11,795,36,110,34003.13,0,0,0,0
2484.46,773,29,114,2880.47,1,0,0,0
4934.8,721,24,48,17605.98,0,0,0,0
